source,target,template,rule,lag_hint,lag_hint_real,notes,w,s_LP,s_co,s_gr,s_corr
px_wti,px_rbo_gas,T2_chain,px_wti->px_rbo_gas,5,10.0,upstream_to_downstream (px_wti->px_rbo_gas),0.6000000000000001,,20.0,10.015242523793079,0.08755175642823383
px_wti,px_heating_oil,T2_chain,px_wti->px_heating_oil,5,10.0,upstream_to_downstream (px_wti->px_heating_oil),0.3734227958821774,,20.0,2.9465914130739588,0.05911801949241063
px_soy,px_soy_oil,T2_chain,px_soy->px_soy_oil,5,6.0,upstream_to_downstream (px_soy->px_soy_oil),0.34167355066255345,,20.0,1.5917456315084437,0.057739017243247794
px_soy,px_soy_meal,T2_chain,px_soy->px_soy_meal,5,4.0,upstream_to_downstream (px_soy->px_soy_meal),0.3268145030342713,,20.0,2.9326732942390463,0.04297117507187362
px_corn,px_live_cattle,T2_chain,px_corn->px_live_cattle,5,6.0,upstream_to_downstream (px_corn->px_live_cattle),0.06730196892245595,,1.6164371130422883,1.2126640894292637,0.034525779219850596
px_corn,px_lean_hogs,T2_chain,px_corn->px_lean_hogs,5,5.0,upstream_to_downstream (px_corn->px_lean_hogs),0.2,,20.0,0.265731714010054,0.017837266531896857
px_wti,px_brent,T3_substitution,group:Oil,3,7.0,substitution/compl. Oil,0.29019715848523375,,20.0,2.8575966619796396,0.05808270957790053
px_wti,px_rbo_gas,T3_substitution,group:Oil,3,10.0,substitution/compl. Oil,0.42421632215731014,,20.0,10.015242523793079,0.08755175642823383
px_wti,px_heating_oil,T3_substitution,group:Oil,3,10.0,substitution/compl. Oil,0.2931099094794082,,20.0,2.9465914130739588,0.05911801949241063
px_brent,px_wti,T3_substitution,group:Oil,3,4.0,substitution/compl. Oil,0.4278015731436979,,20.0,15.861068692517605,0.05480270391382833
px_brent,px_rbo_gas,T3_substitution,group:Oil,3,10.0,substitution/compl. Oil,0.3062227732521063,,20.0,3.224076035664881,0.0645093534800229
px_brent,px_heating_oil,T3_substitution,group:Oil,3,4.0,substitution/compl. Oil,0.25429869914235953,,20.0,2.0412366530454653,0.04365943672334209
px_rbo_gas,px_wti,T3_substitution,group:Oil,3,4.0,substitution/compl. Oil,0.5464139014819848,,20.0,18.420680743952367,0.10327563387377994
px_rbo_gas,px_brent,T3_substitution,group:Oil,3,4.0,substitution/compl. Oil,0.35881341095647645,,20.0,7.193605053939801,0.06918840681548677
px_rbo_gas,px_heating_oil,T3_substitution,group:Oil,3,4.0,substitution/compl. Oil,0.24185126529095405,,20.0,0.6512658833363693,0.045223658497319366
px_heating_oil,px_wti,T3_substitution,group:Oil,3,6.0,substitution/compl. Oil,0.3647509020880795,,20.0,11.665254370354859,0.04585231172952487
px_heating_oil,px_brent,T3_substitution,group:Oil,3,6.0,substitution/compl. Oil,0.17233499825353726,,16.083594606011513,0.5152942330357297,0.03084748302822546
px_heating_oil,px_rbo_gas,T3_substitution,group:Oil,3,8.0,substitution/compl. Oil,0.23947689423205148,,20.0,0.4094723015514752,0.045383565982527005
px_gold,px_silver,T3_substitution,group:Precious,3,4.0,substitution/compl. Precious,0.2420477801406095,,20.0,1.8830110112831147,0.03802331911657587
px_gold,px_platinum,T3_substitution,group:Precious,3,3.0,substitution/compl. Precious,0.09568039606247397,,1.1845655042857233,5.595627967994989,0.04374275137108104
px_gold,px_palladium,T3_substitution,group:Precious,3,8.0,substitution/compl. Precious,0.0558103945694024,,1.0,1.920535908513075,0.04518661284674105
px_silver,px_gold,T3_substitution,group:Precious,3,2.0,substitution/compl. Precious,0.2909057454250933,,20.0,6.398460478825671,0.03746119487829882
px_silver,px_platinum,T3_substitution,group:Precious,3,1.0,substitution/compl. Precious,0.12043992909496336,,2.034257067636026,7.474352309151335,0.04108706824731237
px_silver,px_palladium,T3_substitution,group:Precious,3,8.0,substitution/compl. Precious,0.0675888872871254,,1.0,3.6884401898279693,0.04102177406374831
px_platinum,px_gold,T3_substitution,group:Precious,3,6.0,substitution/compl. Precious,0.2662286443267867,,15.414308624799313,5.0842616283452085,0.0579176821546167
px_platinum,px_silver,T3_substitution,group:Precious,3,6.0,substitution/compl. Precious,0.2636187950962954,,20.0,1.3236249578893418,0.05291751424755725
px_platinum,px_palladium,T3_substitution,group:Precious,3,8.0,substitution/compl. Precious,0.0749763529361984,,1.4475822578498456,1.39488190502605,0.05606161116760211
px_palladium,px_gold,T3_substitution,group:Precious,3,3.0,substitution/compl. Precious,0.07807853093671684,,1.2017969543471638,3.531200501255908,0.04644382573141861
px_palladium,px_silver,T3_substitution,group:Precious,3,2.0,substitution/compl. Precious,0.06818857730081523,,1.1573690459269668,3.367874634130361,0.04235597406445179
px_palladium,px_platinum,T3_substitution,group:Precious,3,5.0,substitution/compl. Precious,0.09254743972200148,,1.2547568855366593,4.497090303177646,0.048180612002780995
px_copper,px_aluminum,T3_substitution,group:BaseMetals,3,6.0,substitution/compl. BaseMetals,0.08340408572378792,,2.18864866607609,4.412426634938868,0.038500271889017494
px_copper,px_zinc,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.10792740697182984,,1.523100287662814,4.888557108811285,0.052596664942032856
px_copper,px_nickel,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.2601560726352776,,1.0804224656428618,14.447366503507602,0.08009683845409392
px_copper,px_tin,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.37940109138251055,,20.0,8.200344646924545,0.07426578498293156
px_copper,px_lead,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.10529696172550759,,1.0349398935167913,4.426943998426731,0.056680605061339595
px_aluminum,px_copper,T3_substitution,group:BaseMetals,3,4.0,substitution/compl. BaseMetals,0.06543216035816682,,2.5538120491627927,1.3928975727140687,0.04470221478295605
px_aluminum,px_zinc,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.39352215700355037,,18.398611158184924,6.68927780160541,0.09985289990901049
px_aluminum,px_nickel,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.40798675206163537,,2.0501720163656514,18.420680743952367,0.13038691266857821
px_aluminum,px_tin,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.32366834675732803,,3.3414471770350653,9.284133424250761,0.13203322353811117
px_aluminum,px_lead,T3_substitution,group:BaseMetals,3,2.0,substitution/compl. BaseMetals,0.1985955935152034,,5.966610067687577,6.341949117743592,0.06753264724243371
px_zinc,px_copper,T3_substitution,group:BaseMetals,3,7.0,substitution/compl. BaseMetals,0.10835056289155745,,7.6950518947340205,1.2091364465274161,0.03978158985602849
px_zinc,px_aluminum,T3_substitution,group:BaseMetals,3,6.0,substitution/compl. BaseMetals,0.2971778181806367,,20.0,0.8667535348758572,0.07363716939812248
px_zinc,px_nickel,T3_substitution,group:BaseMetals,3,8.0,substitution/compl. BaseMetals,0.11541378490985599,,2.5623315699210814,5.016276291559069,0.04998609179307767
px_zinc,px_tin,T3_substitution,group:BaseMetals,3,3.0,substitution/compl. BaseMetals,0.23059817243071143,,6.553010986467781,6.16507444620523,0.08244366704142536
px_zinc,px_lead,T3_substitution,group:BaseMetals,3,10.0,substitution/compl. BaseMetals,0.04473094200343836,,1.8384412325119803,1.906163572350417,0.03458953375192546
px_nickel,px_copper,T3_substitution,group:BaseMetals,3,6.0,substitution/compl. BaseMetals,0.04706514976651811,,1.7282344070372555,1.5040190082940663,0.03885000287197254
px_nickel,px_aluminum,T3_substitution,group:BaseMetals,3,2.0,substitution/compl. BaseMetals,0.333424213269414,,1.866794520446771,11.76126556628303,0.1309067160509415
px_nickel,px_zinc,T3_substitution,group:BaseMetals,3,2.0,substitution/compl. BaseMetals,0.03435269642506618,,2.320397050489118,0.7959378454154399,0.0328823674300781
px_nickel,px_tin,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.248578091205007,,1.5387396909201347,9.108126402956486,0.10296274244081316
px_nickel,px_lead,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.08076797111638337,,1.5125804346147644,2.9298125970942457,0.04969849602124721
px_tin,px_copper,T3_substitution,group:BaseMetals,3,7.0,substitution/compl. BaseMetals,0.1864595915862089,,17.97405293052021,0.4293536467568463,0.028258016745465034
px_tin,px_aluminum,T3_substitution,group:BaseMetals,3,2.0,substitution/compl. BaseMetals,0.05697272874308794,,2.1255692082606927,1.1847669884057543,0.04381601382869953
px_tin,px_zinc,T3_substitution,group:BaseMetals,3,10.0,substitution/compl. BaseMetals,0.06381461170403616,,1.5985207094092464,1.6642451448660662,0.04762121068113267
px_tin,px_nickel,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.04177747508103523,,1.0543872674143224,2.2779096231959053,0.03522877293623448
px_tin,px_lead,T3_substitution,group:BaseMetals,3,10.0,substitution/compl. BaseMetals,0.029063451033239797,,1.0577857007193772,1.3074226298116165,0.034142660486195485
px_lead,px_copper,T3_substitution,group:BaseMetals,3,2.0,substitution/compl. BaseMetals,0.22326614146319396,,20.0,2.429773658956642,0.024700947221472275
px_lead,px_aluminum,T3_substitution,group:BaseMetals,3,6.0,substitution/compl. BaseMetals,0.3181381828745958,,20.0,2.133650013602253,0.07737149454089656
px_lead,px_zinc,T3_substitution,group:BaseMetals,3,5.0,substitution/compl. BaseMetals,0.2393265173336382,,20.0,1.5794674565379792,0.03836331837691206
px_lead,px_nickel,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.26563216733858064,,20.0,2.9252353086818097,0.0444984450522682
px_lead,px_tin,T3_substitution,group:BaseMetals,3,1.0,substitution/compl. BaseMetals,0.25227401835451724,,20.0,1.1901524655979316,0.04762087081846238
px_corn,px_wheat,T3_substitution,group:Grain,3,9.0,substitution/compl. Grain,0.2297557215962293,,20.0,1.3444220795027173,0.03462115729093356
px_corn,px_rough_rice,T3_substitution,group:Grain,3,7.0,substitution/compl. Grain,0.05523820284196296,,2.5759747861819156,2.0945306603365923,0.03494474400007919
px_wheat,px_corn,T3_substitution,group:Grain,3,3.0,substitution/compl. Grain,0.2628346968941695,,20.0,1.3707055501678598,0.05221747176244557
px_wheat,px_rough_rice,T3_substitution,group:Grain,3,5.0,substitution/compl. Grain,0.09375377332545917,,5.768744385942833,1.2030293563563874,0.04286611985996535
px_rough_rice,px_corn,T3_substitution,group:Grain,3,9.0,substitution/compl. Grain,0.05202251405615077,,2.1378633442166244,1.291014756782848,0.04045979117642699
px_rough_rice,px_wheat,T3_substitution,group:Grain,3,10.0,substitution/compl. Grain,0.03767779203557819,,3.1978447434925075,0.6485502002334405,0.030584251402959155
px_soy,px_soy_oil,T3_substitution,group:Oilseed,3,6.0,substitution/compl. Oilseed,0.2755663597908179,,20.0,1.5917456315084437,0.057739017243247794
px_soy,px_soy_meal,T3_substitution,group:Oilseed,3,4.0,substitution/compl. Oilseed,0.2628685003395643,,20.0,2.9326732942390463,0.04297117507187362
px_soy,px_canola,T3_substitution,group:Oilseed,3,3.0,substitution/compl. Oilseed,0.15424346493549074,,2.5744105287940626,11.838813919917651,0.03028999823970619
px_soy_oil,px_soy,T3_substitution,group:Oilseed,3,3.0,substitution/compl. Oilseed,0.3081551644400755,,20.0,5.446099029844227,0.0523669958304954
px_soy_oil,px_soy_meal,T3_substitution,group:Oilseed,3,9.0,substitution/compl. Oilseed,0.17783088319726448,,9.50947305067633,3.709183939725048,0.05199077442812584
px_soy_oil,px_canola,T3_substitution,group:Oilseed,3,3.0,substitution/compl. Oilseed,0.22985310604757653,,3.090527985726097,18.420680743952367,0.028912423335850097
px_soy_meal,px_soy,T3_substitution,group:Oilseed,3,5.0,substitution/compl. Oilseed,0.2514259436364956,,20.0,3.8070682347345093,0.03164413254832812
px_soy_meal,px_soy_oil,T3_substitution,group:Oilseed,3,2.0,substitution/compl. Oilseed,0.22013856756550934,,20.0,1.8105024502442457,0.02669555799580485
px_soy_meal,px_canola,T3_substitution,group:Oilseed,3,1.0,substitution/compl. Oilseed,0.24507585862599746,,20.0,1.9326633772214752,0.03935387077971731
px_canola,px_soy,T3_substitution,group:Oilseed,3,1.0,substitution/compl. Oilseed,0.0474456959941119,,1.7221815669447496,2.1479366183714204,0.0352691771045972
px_canola,px_soy_oil,T3_substitution,group:Oilseed,3,5.0,substitution/compl. Oilseed,0.02863377278103614,,1.7930220177404235,0.4970524690825426,0.03456518600031237
px_canola,px_soy_meal,T3_substitution,group:Oilseed,3,3.0,substitution/compl. Oilseed,0.1812957620745718,,12.751106246730618,2.373265321484296,0.04346171886067785
px_coffee,px_cocoa,T3_substitution,group:Beverage,3,2.0,substitution/compl. Beverage,0.021099228619670937,,1.2769967820361374,1.2382405911008596,0.029040568457184838
px_coffee,px_oj,T3_substitution,group:Beverage,3,1.0,substitution/compl. Beverage,0.03443400819892662,,1.0347090052131145,1.856395370802129,0.033899092544250595
px_cocoa,px_coffee,T3_substitution,group:Beverage,3,6.0,substitution/compl. Beverage,0.057120535620203514,,4.119577086076601,0.32464955062502165,0.037732632268718085
px_cocoa,px_oj,T3_substitution,group:Beverage,3,10.0,substitution/compl. Beverage,0.04412324347633295,,2.6944151084899386,0.35423761353531885,0.038632828745038546
px_oj,px_coffee,T3_substitution,group:Beverage,3,2.0,substitution/compl. Beverage,0.018254328598635954,,1.377317101294162,1.4777209974707384,0.025526683567032745
px_oj,px_cocoa,T3_substitution,group:Beverage,3,6.0,substitution/compl. Beverage,0.019461447523406075,,2.5247278834513023,0.354707736357348,0.02635358136856786
px_live_cattle,px_lean_hogs,T3_substitution,group:Livestock,3,6.0,substitution/compl. Livestock,0.09081269248740796,,1.1720260036604022,0.9213822577862626,0.06892544860892802
px_lean_hogs,px_live_cattle,T3_substitution,group:Livestock,3,2.0,substitution/compl. Livestock,0.25409700928841783,,20.0,2.665902837928934,0.03984613965495953
usd_index,px_wti,T4_macro,macro_to_commodity,5,4.0,usd_index->px_wti,0.06823393099174935,,,0.2519710118680056,0.05301627111554204
cpi,px_wti,T4_macro,macro_to_commodity,5,,cpi->px_wti,,,,,
indpro,px_wti,T4_macro,macro_to_commodity,5,,indpro->px_wti,,,,,
fedfunds,px_wti,T4_macro,macro_to_commodity,5,,fedfunds->px_wti,,,,,
gs10,px_wti,T4_macro,macro_to_commodity,5,,gs10->px_wti,,,,,
usd_index,px_brent,T4_macro,macro_to_commodity,5,4.0,usd_index->px_brent,0.11912763689634062,,,2.0332455039315427,0.058864653268928896
cpi,px_brent,T4_macro,macro_to_commodity,5,,cpi->px_brent,,,,,
indpro,px_brent,T4_macro,macro_to_commodity,5,,indpro->px_brent,,,,,
fedfunds,px_brent,T4_macro,macro_to_commodity,5,,fedfunds->px_brent,,,,,
gs10,px_brent,T4_macro,macro_to_commodity,5,,gs10->px_brent,,,,,
usd_index,px_natgas,T4_macro,macro_to_commodity,5,8.0,usd_index->px_natgas,0.02106673410140525,,,1.3043345751358115,0.026823230888976594
cpi,px_natgas,T4_macro,macro_to_commodity,5,,cpi->px_natgas,,,,,
indpro,px_natgas,T4_macro,macro_to_commodity,5,,indpro->px_natgas,,,,,
fedfunds,px_natgas,T4_macro,macro_to_commodity,5,,fedfunds->px_natgas,,,,,
gs10,px_natgas,T4_macro,macro_to_commodity,5,,gs10->px_natgas,,,,,
usd_index,px_rbo_gas,T4_macro,macro_to_commodity,5,4.0,usd_index->px_rbo_gas,0.10219766965653608,,,1.9809876397822044,0.05276730338528827
cpi,px_rbo_gas,T4_macro,macro_to_commodity,5,,cpi->px_rbo_gas,,,,,
indpro,px_rbo_gas,T4_macro,macro_to_commodity,5,,indpro->px_rbo_gas,,,,,
fedfunds,px_rbo_gas,T4_macro,macro_to_commodity,5,,fedfunds->px_rbo_gas,,,,,
gs10,px_rbo_gas,T4_macro,macro_to_commodity,5,,gs10->px_rbo_gas,,,,,
usd_index,px_heating_oil,T4_macro,macro_to_commodity,5,6.0,usd_index->px_heating_oil,0.09291230979149716,,,0.37989264853099247,0.061506572939210344
cpi,px_heating_oil,T4_macro,macro_to_commodity,5,,cpi->px_heating_oil,,,,,
indpro,px_heating_oil,T4_macro,macro_to_commodity,5,,indpro->px_heating_oil,,,,,
fedfunds,px_heating_oil,T4_macro,macro_to_commodity,5,,fedfunds->px_heating_oil,,,,,
gs10,px_heating_oil,T4_macro,macro_to_commodity,5,,gs10->px_heating_oil,,,,,
usd_index,px_gold,T4_macro,macro_to_commodity,5,3.0,usd_index->px_gold,0.06620963791125983,,,2.432946664347957,0.03547944521342557
cpi,px_gold,T4_macro,macro_to_commodity,5,,cpi->px_gold,,,,,
indpro,px_gold,T4_macro,macro_to_commodity,5,,indpro->px_gold,,,,,
fedfunds,px_gold,T4_macro,macro_to_commodity,5,,fedfunds->px_gold,,,,,
gs10,px_gold,T4_macro,macro_to_commodity,5,,gs10->px_gold,,,,,
usd_index,px_silver,T4_macro,macro_to_commodity,5,10.0,usd_index->px_silver,0.029402759340929386,,,1.2377185706914595,0.03053510304502249
cpi,px_silver,T4_macro,macro_to_commodity,5,,cpi->px_silver,,,,,
indpro,px_silver,T4_macro,macro_to_commodity,5,,indpro->px_silver,,,,,
fedfunds,px_silver,T4_macro,macro_to_commodity,5,,fedfunds->px_silver,,,,,
gs10,px_silver,T4_macro,macro_to_commodity,5,,gs10->px_silver,,,,,
usd_index,px_platinum,T4_macro,macro_to_commodity,5,6.0,usd_index->px_platinum,0.09882740299476503,,,4.315831828859749,0.033531390657029495
cpi,px_platinum,T4_macro,macro_to_commodity,5,,cpi->px_platinum,,,,,
indpro,px_platinum,T4_macro,macro_to_commodity,5,,indpro->px_platinum,,,,,
fedfunds,px_platinum,T4_macro,macro_to_commodity,5,,fedfunds->px_platinum,,,,,
gs10,px_platinum,T4_macro,macro_to_commodity,5,,gs10->px_platinum,,,,,
usd_index,px_palladium,T4_macro,macro_to_commodity,5,6.0,usd_index->px_palladium,0.08113373553632756,,,1.5106732456349627,0.048295607844366116
cpi,px_palladium,T4_macro,macro_to_commodity,5,,cpi->px_palladium,,,,,
indpro,px_palladium,T4_macro,macro_to_commodity,5,,indpro->px_palladium,,,,,
fedfunds,px_palladium,T4_macro,macro_to_commodity,5,,fedfunds->px_palladium,,,,,
gs10,px_palladium,T4_macro,macro_to_commodity,5,,gs10->px_palladium,,,,,
usd_index,px_copper,T4_macro,macro_to_commodity,5,4.0,usd_index->px_copper,0.05177737030760807,,,1.5164205656365328,0.036982379602271694
cpi,px_copper,T4_macro,macro_to_commodity,5,,cpi->px_copper,,,,,
indpro,px_copper,T4_macro,macro_to_commodity,5,,indpro->px_copper,,,,,
fedfunds,px_copper,T4_macro,macro_to_commodity,5,,fedfunds->px_copper,,,,,
gs10,px_copper,T4_macro,macro_to_commodity,5,,gs10->px_copper,,,,,
usd_index,px_aluminum,T4_macro,macro_to_commodity,5,1.0,usd_index->px_aluminum,0.38133919537027017,,,10.242732353443095,0.09643412344565534
cpi,px_aluminum,T4_macro,macro_to_commodity,5,,cpi->px_aluminum,,,,,
indpro,px_aluminum,T4_macro,macro_to_commodity,5,,indpro->px_aluminum,,,,,
fedfunds,px_aluminum,T4_macro,macro_to_commodity,5,,fedfunds->px_aluminum,,,,,
gs10,px_aluminum,T4_macro,macro_to_commodity,5,,gs10->px_aluminum,,,,,
usd_index,px_zinc,T4_macro,macro_to_commodity,5,1.0,usd_index->px_zinc,0.12426280008516144,,,3.538793820560305,0.04926647342456348
