model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.05661689984138872,0.08135222093351183
magn_prior_residual,1,val,MA,0.011323380112394187,0.016270444384904142
magn_prior_residual,1,val,GAP,0.06737139132662671,0.09069928915142762
magn_prior_residual,1,test,PF,0.052611648998523164,0.07560692749657992
magn_prior_residual,1,test,MA,0.010522329961778439,0.015121385750345714
magn_prior_residual,1,test,GAP,0.058862492339790795,0.0791158201813865
magn_prior_residual,2,val,PF,0.057138040902021806,0.08135903759945096
magn_prior_residual,2,val,MA,0.011427608356096075,0.01627180774229109
magn_prior_residual,2,val,GAP,0.0700554963791631,0.09287371243152862
magn_prior_residual,2,test,PF,0.05309012609476087,0.0758976405497175
magn_prior_residual,2,test,MA,0.010618025393736297,0.015179528399013634
magn_prior_residual,2,test,GAP,0.06182541609715439,0.08182512157396393
magn_prior_residual,3,val,PF,0.05657394968706076,0.08135422353329483
magn_prior_residual,3,val,MA,0.011314790137796002,0.01627084500868749
magn_prior_residual,3,val,GAP,0.06951969262731612,0.09243300552076657
magn_prior_residual,3,test,PF,0.052926413826960124,0.07575894678684572
magn_prior_residual,3,test,MA,0.010585282943333173,0.015151789632631881
magn_prior_residual,3,test,GAP,0.06090264996871521,0.08096642556568805
magn_prior_residual,4,val,PF,0.056391894100284806,0.08141847298121506
magn_prior_residual,4,val,MA,0.011278378993965867,0.016283694811474646
magn_prior_residual,4,val,GAP,0.07041260144263607,0.09316608721228087
magn_prior_residual,4,test,PF,0.05198558450894862,0.07531188689588922
magn_prior_residual,4,test,MA,0.01039711706991285,0.015062377641236533
magn_prior_residual,4,test,GAP,0.061844104206410504,0.08184539985349873
magn_prior_residual,5,val,PF,0.05682212735114039,0.08135243871107264
magn_prior_residual,5,val,MA,0.011364425655519284,0.016270487986853294
magn_prior_residual,5,val,GAP,0.06905842162668704,0.09204943766409789
magn_prior_residual,5,test,PF,0.053003979831050006,0.07583119806648043
magn_prior_residual,5,test,MA,0.010600796188221255,0.015166239951934031
magn_prior_residual,5,test,GAP,0.060671831326464476,0.08075866148130269
