model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.05641154471957863,0.08170363451983788
magn_prior_residual,1,val,MA,0.011282309156007107,0.016340727234339554
magn_prior_residual,1,val,GAP,0.0722531935586874,0.09470174784240494
magn_prior_residual,1,test,PF,0.0516702085201981,0.07513167340219834
magn_prior_residual,1,test,MA,0.010334041894047349,0.015026334973236471
magn_prior_residual,1,test,GAP,0.0634861809664569,0.08338565409542388
magn_prior_residual,2,val,PF,0.056385034609769215,0.08166007878466233
magn_prior_residual,2,val,MA,0.011277007096397113,0.016332016024615124
magn_prior_residual,2,val,GAP,0.06732456514947727,0.09065059343694513
magn_prior_residual,2,test,PF,0.05169095512121748,0.07512689608145223
magn_prior_residual,2,test,MA,0.010338191208990336,0.015025379493335678
magn_prior_residual,2,test,GAP,0.05864329895183528,0.07890440886579957
magn_prior_residual,3,val,PF,0.056548481124142805,0.08133963855810422
magn_prior_residual,3,val,MA,0.011309696381827028,0.01626792793799393
magn_prior_residual,3,val,GAP,0.0693576354248439,0.09229888645316424
magn_prior_residual,3,test,PF,0.05232909036337235,0.07546646621712849
magn_prior_residual,3,test,MA,0.010465818244641933,0.015093293538037898
magn_prior_residual,3,test,GAP,0.06082518429279664,0.08090324720707182
magn_prior_residual,4,val,PF,0.05651215827957692,0.08134347829466948
magn_prior_residual,4,val,MA,0.01130243184440483,0.016268695935931134
magn_prior_residual,4,val,GAP,0.06880997199605886,0.09183307473609455
magn_prior_residual,4,test,PF,0.05222300833333179,0.07542214893936414
magn_prior_residual,4,test,MA,0.010444601848785632,0.015084430076772255
magn_prior_residual,4,test,GAP,0.060255196221214904,0.08040786693730653
magn_prior_residual,5,val,PF,0.056651863342792284,0.08133614033488186
magn_prior_residual,5,val,MA,0.011330372850964726,0.016267228330102034
magn_prior_residual,5,val,GAP,0.06931635269925732,0.09228326133462748
magn_prior_residual,5,test,PF,0.0527291502098495,0.0756658652703173
magn_prior_residual,5,test,MA,0.010545830230069437,0.01513317334725586
magn_prior_residual,5,test,GAP,0.059807639664807226,0.0799776678951872
